iter	Passed	Remaining
567	3968	3018
568	3976	3012
569	3984	3006
570	3992	2999
571	4001	2993
572	4009	2987
573	4018	2982
574	4027	2976
575	4036	2971
576	4044	2964
577	4052	2958
578	4061	2953
579	4069	2947
580	4079	2941
581	4087	2935
582	4096	2929
583	4104	2923
584	4111	2916
585	4120	2911
586	4128	2904
587	4137	2899
588	4147	2894
589	4156	2888
590	4164	2882
591	4172	2875
592	4181	2869
593	4188	2863
594	4197	2857
595	4205	2850
596	4216	2846
597	4224	2839
598	4233	2833
599	4239	2826
600	4252	2823
601	4261	2817
602	4268	2810
603	4276	2803
604	4283	2796
605	4292	2790
606	4299	2783
607	4308	2777
608	4317	2772
609	4325	2765
610	4334	2759
611	4342	2752
612	4350	2746
613	4358	2740
614	4367	2734
615	4376	2728
616	4386	2722
617	4393	2715
618	4402	2709
619	4410	2703
620	4418	2696
621	4426	2690
622	4434	2683
623	4443	2677
624	4452	2671
625	4460	2664
626	4467	2657
627	4473	2650
628	4480	2642
629	4487	2635
630	4495	2628
631	4503	2622
632	4511	2615
633	4517	2607
634	4524	2600
635	4531	2593
636	4538	2586
637	4544	2578
638	4551	2571
639	4558	2564
640	4566	2557
641	4574	2550
642	4581	2543
643	4588	2536
644	4595	2529
645	4601	2521
646	4607	2514
647	4614	2506
648	4621	2499
649	4628	2492
650	4635	2485
651	4643	2478
652	4649	2470
653	4656	2463
654	4664	2456
655	4670	2449
656	4677	2442
657	4684	2434
658	4691	2427
659	4697	2420
660	4703	2412
661	4710	2404
662	4716	2397
663	4722	2389
664	4729	2382
665	4735	2375
666	4742	2367
667	4749	2360
668	4755	2353
669	4762	2345
670	4768	2338
671	4775	2330
672	4782	2323
673	4788	2315
674	4794	2308
675	4800	2300
676	4807	2293
677	4813	2286
678	4820	2278
679	4826	2271
680	4833	2264
681	4841	2257
682	4847	2250
683	4854	2242
684	4861	2235
685	4869	2228
686	4876	2221
687	4883	2214
688	4890	2207
689	4896	2199
690	4903	2192
691	4909	2185
692	4915	2177
693	4921	2169
694	4928	2162
695	4952	2163
696	4959	2155
697	4966	2148
698	4972	2141
699	4978	2133
700	4985	2126
701	4992	2119
702	4998	2111
703	5005	2104
704	5011	2097
705	5018	2089
706	5024	2082
707	5031	2075
708	5038	2068
709	5044	2060
710	5051	2053
711	5057	2045
712	5063	2038
713	5069	2030
714	5076	2023
715	5082	2015
716	5089	2008
717	5095	2001
718	5101	1993
719	5107	1986
720	5113	1978
721	5119	1971
722	5125	1963
723	5131	1956
724	5137	1948
725	5143	1941
726	5149	1933
727	5155	1926
728	5160	1918
729	5166	1911
730	5173	1903
731	5179	1896
732	5185	1888
733	5191	1881
734	5197	1873
735	5203	1866
736	5208	1858
737	5214	1851
738	5220	1843
739	5226	1836
740	5233	1829
741	5239	1821
742	5246	1814
